Year,Material,Amount,Unit,Conversion,Unit2,Factor,Factor_Unit
2022,LNG (여수공장),430503502.0,EFO Liter,0.815,kg/EFO Liter,0.27233871394237297,kgCO2/kg
2022,LNG (여수공장 외),1614.452,천㎥,779.0,㎏/천㎥,0.27233871394237297,kgCO2/kg
2022,전력 Upstream,3172835.826,MWh,1000.0,kWh/MWh,0.4951067159084,kgCO2/kWh
2022,전력 T&D LOSS,3172835.826,MWh,1000.0,kWh/MWh,0.029806715908400006,kgCO2/kWh
2022,스팀 도입량,5855.557110463999,TJ,1000000.0,MJ/TJ,0.0421240192931659,kgCO2e/MJ
2022,가스/디젤 오일(경유),743.966,kℓ,825.082508250825,㎏/kℓ,0.0681943660051305,kgCO2e/kg
2022,휘발유,790.578,kℓ,698.812019566737,㎏/kℓ,0.0831699669573754,kgCO2e/kg
2022,프로판,126.181,ton,1000.0,kg/ton,0.393616041751558,kgCO2e/kg
2022,실내 등유,261.278,kℓ,788.270534447422,㎏/kℓ,0.25294165723714,kgCO2e/kg
